Date,PriceOpen,PriceHigh,PriceLow,PriceClose,VolumeTraded
1/3/2016 0:58,436.75,437.5,435.2,437.4,218.731
1/3/2016 1:56,437.07,437.07,434.2,436.34,78.762
1/3/2016 2:59,436.46,436.98,434.25,436.05,104.564
1/3/2016 3:58,435.53,436.44,429,434.22,409.744
1/3/2016 4:58,434.22,435.71,431.3,434.41,89.213
1/3/2016 5:59,434.11,434.11,431.37,433.6,54.86
1/3/2016 6:59,432.06,435.79,432.06,434.18,123.174
1/3/2016 7:57,434.19,435,427.33,431.1,875.823
1/3/2016 8:58,431.34,431.96,428.92,430.93,169.028
1/3/2016 9:59,430.41,436.19,430.39,433.91,422.746
1/3/2016 10:58,433.51,435.8,433.08,435.61,105.057
1/3/2016 11:58,436,436.02,432.89,434.54,266.276
1/3/2016 12:59,434.5,435.03,432.85,434.96,184.781
1/3/2016 13:59,433.68,435.03,432.48,434.49,336.354
1/3/2016 14:59,434.49,435.01,433.13,433.9,124.169
1/3/2016 15:58,433.9,434.25,432.01,432.67,173.912
1/3/2016 16:59,432.03,433.63,430.36,431.7,178.612
1/3/2016 17:59,431.69,433.98,427.01,431.9,637.524
1/3/2016 18:59,432,432.72,430.22,431.78,217.066
1/3/2016 19:59,432.48,433.88,430,432.18,847.885
1/3/2016 20:59,432.17,432.52,429,430.53,446.514
1/3/2016 21:59,430.53,431.15,428.82,431,384.158
1/3/2016 22:59,431,432.35,430,431.85,245.916
1/3/2016 23:59,431.85,433.99,430.62,432.5,246.648
2/3/2016 0:59,433.33,434,431.82,434,171.915
2/3/2016 1:58,434,434.07,431.05,433.14,224.819
2/3/2016 2:59,433.4,434.06,432.25,433.93,92.535
2/3/2016 3:58,433.93,434.5,432.52,433.86,90.822
2/3/2016 4:58,433.93,434.23,431.06,433.88,83.603
2/3/2016 5:59,434,434,430.36,431.74,169.417
2/3/2016 6:57,430.57,433.62,430.35,432.05,151.355
2/3/2016 7:59,433.44,433.82,431.68,432.53,91.131
