Date,Open,High,Low,Close,Volume,Bitcoin,BTC,Blockchain,Cryptocurrency,Iota
1/3/2016 0:58,436.75,437.5,435.2,437.4,218.731,90,65,57,62,70
1/3/2016 1:56,437.07,437.07,434.2,436.34,78.762,92,74,48,48,71
1/3/2016 2:59,436.46,436.98,434.25,436.05,104.564,90,76,55,55,65
1/3/2016 3:58,435.53,436.44,429.0,434.22,409.744,92,84,62,68,81
1/3/2016 4:58,434.22,435.71,431.3,434.41,89.213,90,80,63,58,71
1/3/2016 5:59,434.11,434.11,431.37,433.6,54.86,100,86,71,77,57
1/3/2016 6:59,432.06,435.79,432.06,434.18,123.17399999999999,83,88,70,61,43
1/3/2016 7:57,434.19,435.0,427.33,431.1,875.823,77,98,76,75,46
1/3/2016 8:58,431.34,431.96,428.92,430.93,169.028,78,95,93,66,34
1/3/2016 9:59,430.41,436.19,430.39,433.91,422.746,76,93,93,60,46
1/3/2016 10:58,433.51,435.8,433.08,435.61,105.057,73,90,87,51,43
1/3/2016 11:58,436.0,436.02,432.89,434.54,266.276,76,82,77,55,28
1/3/2016 12:59,434.5,435.03,432.85,434.96,184.78099999999998,77,80,81,70,33
1/3/2016 13:59,433.68,435.03,432.48,434.49,336.35400000000004,77,72,74,52,39
1/3/2016 14:59,434.49,435.01,433.13,433.9,124.169,76,80,79,45,48
1/3/2016 15:58,433.9,434.25,432.01,432.67,173.912,77,69,77,45,52
1/3/2016 16:59,432.03,433.63,430.36,431.7,178.612,79,71,73,45,55
1/3/2016 17:59,431.69,433.98,427.01,431.9,637.524,86,76,74,60,55
1/3/2016 18:59,432.0,432.72,430.22,431.78,217.06599999999997,78,69,62,46,55
1/3/2016 19:59,432.48,433.88,430.0,432.18,847.885,82,64,65,75,57
1/3/2016 20:59,432.17,432.52,429.0,430.53,446.514,86,61,68,55,61
1/3/2016 21:59,430.53,431.15,428.82,431.0,384.158,87,64,68,78,58
1/3/2016 22:59,431.0,432.35,430.0,431.85,245.916,89,61,78,54,57
1/3/2016 23:59,431.85,433.99,430.62,432.5,246.648,97,65,64,62,63
2/3/2016 0:59,433.33,434.0,431.82,434.0,171.915,89,64,58,61,63
2/3/2016 1:58,434.0,434.07,431.05,433.14,224.81900000000002,87,71,60,47,68
2/3/2016 2:59,433.4,434.06,432.25,433.93,92.535,84,72,60,61,65
2/3/2016 3:58,433.93,434.5,432.52,433.86,90.822,90,83,53,64,53
2/3/2016 4:58,433.93,434.23,431.06,433.88,83.603,84,80,65,85,65
2/3/2016 5:59,434.0,434.0,430.36,431.74,169.417,87,82,71,72,58
2/3/2016 6:57,430.57,433.62,430.35,432.05,151.355,81,89,63,97,70
2/3/2016 7:59,433.44,433.82,431.68,432.53,91.131,73,84,73,61,53
2/3/2016 8:59,432.53,432.76,429.52,431.11,148.99,74,90,81,85,48
2/3/2016 9:59,431.11,433.8,430.25,432.62,128.483,73,85,84,52,45
2/3/2016 10:58,433.2,433.4,431.64,432.3,265.164,73,80,88,44,39
2/3/2016 11:59,432.15,432.84,431.01,431.57,160.347,69,79,74,62,36
2/3/2016 12:59,431.54,432.0,428.96,430.95,284.974,71,77,69,61,38
2/3/2016 13:59,432.01,432.02,427.6,428.08,322.688,74,79,75,51,38
2/3/2016 14:59,428.08,430.03,427.5,429.82,246.732,73,76,75,65,42
2/3/2016 15:59,428.91,430.5,428.55,430.48,438.473,74,76,77,57,48
2/3/2016 16:59,429.45,430.98,429.37,430.48,360.65,75,70,70,57,56
2/3/2016 17:59,430.49,430.5,429.13,429.95,119.291,76,72,66,72,55
2/3/2016 18:59,429.95,429.99,429.1,429.37,90.13,87,60,61,60,54
2/3/2016 19:59,429.37,429.9,428.52,429.77,181.373,76,57,63,49,55
2/3/2016 20:59,429.76,429.8,428.0,428.0,323.022,79,61,74,67,55
2/3/2016 21:56,428.0,429.66,427.19,428.42,143.121,83,59,71,60,57
2/3/2016 22:59,428.11,428.11,424.11,425.9,662.132,87,60,64,85,62
2/3/2016 23:59,426.0,426.38,421.31,423.45,837.215,91,64,61,65,71
3/3/2016 0:58,422.4,424.19,417.02,420.99,818.39,96,68,56,42,73
3/3/2016 1:59,420.18,421.74,418.38,421.74,293.324,92,76,59,55,72
3/3/2016 2:59,421.74,423.82,420.26,423.65,83.992,92,77,70,61,71
3/3/2016 3:59,423.47,423.62,419.46,420.08,243.601,95,83,65,74,70
3/3/2016 4:59,420.1,421.45,419.0,419.0,253.83700000000002,96,95,60,72,67
3/3/2016 5:59,419.0,420.37,415.85,417.5,262.825,92,96,70,94,55
3/3/2016 6:56,417.6,418.88,417.51,418.04,151.731,89,90,72,87,56
3/3/2016 7:59,417.98,421.77,417.0,421.65,265.355,82,96,81,100,44
3/3/2016 8:58,421.44,422.48,420.69,421.3,246.65599999999998,80,89,96,78,45
3/3/2016 9:59,421.98,423.89,421.66,423.0,302.127,76,100,95,78,32
3/3/2016 10:59,422.99,423.62,420.16,423.4,198.378,79,91,100,80,32
3/3/2016 11:59,423.4,423.6,420.32,420.32,220.515,76,87,87,58,29
3/3/2016 12:59,421.27,423.26,420.22,422.63,246.774,79,80,86,48,38
3/3/2016 13:58,423.24,424.47,422.34,423.6,176.38,84,79,76,72,38
3/3/2016 14:59,423.54,423.7,421.09,421.9,279.687,98,80,82,79,43
3/3/2016 15:59,421.9,422.6,420.25,421.6,390.88300000000004,93,80,85,58,44
3/3/2016 16:59,421.6,421.6,419.01,419.01,699.3839999999999,86,80,79,62,51
3/3/2016 17:59,419.01,421.45,419.0,421.15,156.981,88,74,69,59,55
3/3/2016 18:59,420.45,421.67,419.71,420.68,171.502,85,69,63,90,47
3/3/2016 19:59,420.54,420.54,417.1,417.11,370.474,86,63,63,56,49
3/3/2016 20:59,417.39,418.16,416.0,418.12,618.7080000000001,92,66,69,66,48
3/3/2016 21:59,418.2,420.61,418.2,419.75,230.946,89,65,72,69,66
3/3/2016 22:59,420.5,420.91,419.6,420.33,550.914,93,62,71,64,58
3/3/2016 23:59,420.33,420.82,419.6,420.29,250.282,92,69,59,73,69
4/3/2016 0:59,420.29,421.64,419.6,420.89,225.84400000000002,88,66,64,53,61
4/3/2016 1:58,420.88,422.0,419.6,421.83,243.72299999999998,89,81,53,94,71
4/3/2016 2:59,421.86,422.98,421.19,421.71,105.772,86,80,63,53,55
4/3/2016 3:58,421.7,422.38,420.97,421.29,85.15,90,80,59,66,60
4/3/2016 4:55,421.29,422.98,421.01,422.69,88.706,93,79,72,83,62
4/3/2016 5:59,422.56,422.99,421.27,422.26,266.312,92,87,66,65,55
4/3/2016 6:59,422.26,423.9,421.54,422.46,341.665,84,88,75,69,50
4/3/2016 7:59,422.65,423.0,421.8,422.9,271.395,78,91,81,60,45
4/3/2016 8:59,422.71,422.97,419.33,420.57,218.34599999999998,78,84,89,69,33
4/3/2016 9:59,420.4,421.13,418.81,419.62,126.891,77,87,81,73,33
4/3/2016 10:56,419.99,420.0,418.5,419.98,164.49900000000002,76,84,75,67,42
4/3/2016 11:59,419.96,420.0,416.18,417.95,291.341,72,77,67,65,34
4/3/2016 12:59,417.95,420.21,417.95,420.21,233.528,68,75,69,81,38
4/3/2016 13:59,420.21,421.0,419.2,419.84,265.347,73,71,71,51,60
4/3/2016 14:59,419.84,420.22,419.15,419.5,94.133,78,75,65,65,61
4/3/2016 15:59,419.48,420.7,418.66,420.69,323.382,75,71,69,64,65
4/3/2016 16:59,420.69,420.69,418.65,420.0,154.672,80,73,66,62,100
4/3/2016 17:59,419.99,420.0,416.96,417.23,290.02299999999997,77,68,60,71,64
4/3/2016 18:59,417.9,418.02,416.15,417.5,404.454,79,61,58,60,63
4/3/2016 19:59,417.45,418.24,413.46,415.17,917.836,78,63,52,72,59
4/3/2016 20:59,415.16,415.17,411.2,412.61,555.677,92,60,62,62,65
4/3/2016 21:58,412.52,412.61,409.0,411.78,705.1569999999999,85,66,57,64,57
4/3/2016 22:59,411.21,413.22,407.55,408.0,806.832,88,61,54,60,61
4/3/2016 23:59,408.7,411.03,406.02,408.01,608.32,93,60,44,56,58
5/3/2016 0:59,408.18,408.37,403.16,405.8,780.466,99,68,45,63,62
5/3/2016 1:59,405.9,407.72,402.0,405.17,689.711,100,78,44,95,64
5/3/2016 2:59,405.17,407.53,402.0,407.47,717.245,96,81,47,90,73
5/3/2016 3:59,406.64,408.47,405.27,408.46,290.595,93,80,48,67,50
5/3/2016 4:59,408.32,408.86,407.68,408.66,57.644,96,80,56,66,61
5/3/2016 5:53,408.66,408.98,407.34,408.79,55.312,83,90,38,80,47
5/3/2016 6:56,408.35,408.93,406.08,406.83,34.817,82,95,49,79,41
5/3/2016 7:59,406.92,408.18,403.81,406.0,276.23,83,98,54,56,42
5/3/2016 8:59,405.1,407.21,404.0,406.07,411.098,78,88,57,65,25
5/3/2016 9:59,405.53,406.07,402.42,404.49,584.6419999999999,78,86,55,76,31
5/3/2016 10:59,404.3,406.6,403.85,405.57,220.93200000000002,76,91,60,69,30
5/3/2016 11:59,405.56,407.07,404.0,406.02,344.599,71,78,51,53,29
5/3/2016 12:59,406.01,406.13,403.0,403.39,171.03599999999997,74,76,50,50,31
5/3/2016 13:59,403.63,404.01,401.0,403.23,667.2689999999999,73,76,52,50,40
5/3/2016 14:59,403.51,404.0,382.0,394.36,5478.111999999999,77,75,51,54,37
5/3/2016 15:59,394.36,398.45,392.34,394.66,1396.029,82,74,56,52,38
5/3/2016 16:59,395.45,398.75,390.0,398.75,1452.296,86,79,55,74,32
5/3/2016 17:58,398.01,401.0,396.22,400.26,762.059,80,71,47,53,44
5/3/2016 18:58,401.0,401.45,397.73,398.5,367.42,80,65,47,64,41
5/3/2016 19:59,398.5,401.96,398.17,401.96,332.788,94,66,47,56,42
5/3/2016 20:59,400.97,401.97,398.42,400.82,357.17699999999996,83,64,48,88,44
5/3/2016 21:59,400.82,403.0,400.06,402.96,371.98699999999997,90,60,50,77,57
5/3/2016 22:59,403.0,403.0,400.39,402.42,228.709,87,58,54,60,47
5/3/2016 23:59,402.0,402.41,396.7,399.83,388.23,88,61,50,69,45
6/3/2016 0:59,399.77,400.3,395.09,396.47,256.69,93,65,38,63,56
6/3/2016 1:59,395.5,397.98,393.11,395.25,199.41400000000002,90,67,41,82,51
6/3/2016 2:59,395.56,397.0,394.04,397.0,114.84299999999999,83,77,39,46,57
6/3/2016 3:59,397.0,399.05,396.09,399.04,107.874,89,72,42,68,55
6/3/2016 4:56,399.02,401.37,398.21,399.81,117.693,87,77,42,77,58
6/3/2016 5:59,399.5,400.24,396.22,400.24,190.074,79,82,41,90,39
6/3/2016 6:59,399.94,400.73,399.0,399.0,57.641999999999996,82,89,48,72,40
6/3/2016 7:59,399.34,400.99,398.06,400.99,197.611,76,81,40,55,44
6/3/2016 8:59,400.99,401.99,400.39,400.48,132.322,75,75,46,59,39
6/3/2016 9:59,401.5,405.99,400.55,405.99,557.621,72,77,44,77,37
6/3/2016 10:58,405.38,408.56,405.01,408.56,764.215,72,80,49,62,39
6/3/2016 11:59,408.43,410.89,407.25,408.73,589.616,71,67,48,64,27
6/3/2016 12:59,407.53,409.99,407.12,407.12,186.425,69,69,48,52,26
6/3/2016 13:59,408.42,409.0,406.02,408.0,63.699,67,64,47,59,33
6/3/2016 14:59,406.75,408.93,406.09,408.0,115.365,70,69,45,52,31
6/3/2016 15:59,408.0,411.26,407.51,411.26,220.38400000000001,71,63,44,72,39
