#,Date,Bitcoin,BTC,Blockchain,Cryptocurrency,Iota
1,1/3/2016 0:58,90,65,57,62,70
2,1/3/2016 1:56,92,74,48,48,71
3,1/3/2016 2:59,90,76,55,55,65
4,1/3/2016 3:58,92,84,62,68,81
5,1/3/2016 4:58,90,80,63,58,71
6,1/3/2016 5:59,100,86,71,77,57
7,1/3/2016 6:59,83,88,70,61,43
8,1/3/2016 7:57,77,98,76,75,46
9,1/3/2016 8:58,78,95,93,66,34
10,1/3/2016 9:59,76,93,93,60,46
11,1/3/2016 10:58,73,90,87,51,43
12,1/3/2016 11:58,76,82,77,55,28
13,1/3/2016 12:59,77,80,81,70,33
14,1/3/2016 13:59,77,72,74,52,39
15,1/3/2016 14:59,76,80,79,45,48
16,1/3/2016 15:58,77,69,77,45,52
17,1/3/2016 16:59,79,71,73,45,55
18,1/3/2016 17:59,86,76,74,60,55
19,1/3/2016 18:59,78,69,62,46,55
20,1/3/2016 19:59,82,64,65,75,57
21,1/3/2016 20:59,86,61,68,55,61
22,1/3/2016 21:59,87,64,68,78,58
23,1/3/2016 22:59,89,61,78,54,57
24,1/3/2016 23:59,97,65,64,62,63
25,2/3/2016 0:59,89,64,58,61,63
26,2/3/2016 1:58,87,71,60,47,68
27,2/3/2016 2:59,84,72,60,61,65
28,2/3/2016 3:58,90,83,53,64,53
29,2/3/2016 4:58,84,80,65,85,65
30,2/3/2016 5:59,87,82,71,72,58
31,2/3/2016 6:57,81,89,63,97,70
32,2/3/2016 7:59,73,84,73,61,53
33,2/3/2016 8:59,74,90,81,85,48
34,2/3/2016 9:59,73,85,84,52,45
35,2/3/2016 10:58,73,80,88,44,39
36,2/3/2016 11:59,69,79,74,62,36
37,2/3/2016 12:59,71,77,69,61,38
38,2/3/2016 13:59,74,79,75,51,38
39,2/3/2016 14:59,73,76,75,65,42
40,2/3/2016 15:59,74,76,77,57,48
41,2/3/2016 16:59,75,70,70,57,56
42,2/3/2016 17:59,76,72,66,72,55
43,2/3/2016 18:59,87,60,61,60,54
44,2/3/2016 19:59,76,57,63,49,55
45,2/3/2016 20:59,79,61,74,67,55
46,2/3/2016 21:56,83,59,71,60,57
47,2/3/2016 22:59,87,60,64,85,62
